[COURSE:4][Final Project]: Linux Pi4 6.1.21-v8+ #1642 SMP PREEMPT Mon Apr  3 17:24:16 BST 2023 aarch64 GNU/Linux
Linux DESKTOP-C2TSGBN 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 x86_64 x86_64

2026-01-21T18:00:00+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 1] [Image Capture Start Time: 0.0 seconds]
2026-01-21T18:00:00.100000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 2] [Image Capture Start Time: 0.1 seconds]
2026-01-21T18:00:00.200000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 3] [Image Capture Start Time: 0.2 seconds]
2026-01-21T18:00:00.300000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 4] [Image Capture Start Time: 0.3 seconds]
2026-01-21T18:00:00.400000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 5] [Image Capture Start Time: 0.4 seconds]
2026-01-21T18:00:00.500000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 6] [Image Capture Start Time: 0.5 seconds]
2026-01-21T18:00:00.600000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 7] [Image Capture Start Time: 0.6 seconds]
2026-01-21T18:00:00.700000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 8] [Image Capture Start Time: 0.7 seconds]
2026-01-21T18:00:00.800000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 9] [Image Capture Start Time: 0.8 seconds]
2026-01-21T18:00:00.900000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 10] [Image Capture Start Time: 0.9 seconds]
2026-01-21T18:00:01+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 11] [Image Capture Start Time: 1.0 seconds]
2026-01-21T18:00:01.100000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 12] [Image Capture Start Time: 1.1 seconds]
2026-01-21T18:00:01.200000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 13] [Image Capture Start Time: 1.2 seconds]
2026-01-21T18:00:01.300000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 14] [Image Capture Start Time: 1.3 seconds]
2026-01-21T18:00:01.400000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 15] [Image Capture Start Time: 1.4 seconds]
2026-01-21T18:00:01.500000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 16] [Image Capture Start Time: 1.5 seconds]
2026-01-21T18:00:01.600000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 17] [Image Capture Start Time: 1.6 seconds]
2026-01-21T18:00:01.700000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 18] [Image Capture Start Time: 1.7 seconds]
2026-01-21T18:00:01.800000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 19] [Image Capture Start Time: 1.8 seconds]
2026-01-21T18:00:01.900000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 20] [Image Capture Start Time: 1.9 seconds]
2026-01-21T18:00:02+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 21] [Image Capture Start Time: 2.0 seconds]
2026-01-21T18:00:02.100000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 22] [Image Capture Start Time: 2.1 seconds]
2026-01-21T18:00:02.200000+06:00 illumi: [Course #:4] [Final Project] [Frame Count: 23] [Image Capture Start Time: 2.2 seconds]
